[CSV] No.;GEN_START;GEN_STOP;GEN_DIFF;CONV_T_START;CONV_T_STOP;CONV_T_DIFF;CONV_R_START;CONV_R_STOP;CONV_R_DIFF;VAL_START;VAL_STOP;VAL_DIFF;QUEUE_GEN_CONV;QUEUE_CONV_CONV;QUEUE_CONV_VAL;TOTAL_DIFF;VALID_RESULT;
[CSV] 0;1608502689657423;1608502689839093;181670;1608502689842049;1608502689848333;6284;1608502689851887;1608502691676461;1824574;1608502691683682;1608502691690148;6466;2956;3554;7221;1844589;0
[CSV] 1;1608502689844386;1608502690009943;165557;1608502691403893;1608502691412652;8759;1608502691705180;1608502693537403;1832223;1608502693539379;1608502693544343;4964;1393950;292528;1976;3529436;0
[CSV] 2;1608502691415292;1608502691607532;192240;1608502693246923;1608502693250298;3375;1608502693564779;1608502695368287;1803508;1608502695369001;1608502695372659;3658;1639391;314481;714;3761469;0
[CSV] 3;1608502693264248;1608502693464616;200368;1608502695071158;1608502695074524;3366;1608502695395260;1608502697156920;1761660;1608502697157716;1608502697161723;4007;1606542;320736;796;3693100;0
[CSV] 4;1608502695120824;1608502695323179;202355;1608502696864205;1608502696867470;3265;1608502697188259;1608502698973543;1785284;1608502698974365;1608502698978362;3997;1541026;320789;822;3651186;0
[CSV] 5;1608502696878734;1608502697079105;200371;1608502698694622;1608502698698085;3463;1608502699006645;1608502700785366;1778721;1608502700785945;1608502700790046;4101;1615517;308560;579;3706840;0
[CSV] 6;1608502698734930;1608502698939359;204429;1608502700490964;1608502700498473;7509;1608502700816450;1608502702730977;1914527;1608502702731774;1608502702735564;3790;1551605;317977;797;3792415;0
[CSV] 7;1608502700495233;1608502700705225;209992;1608502702437614;1608502702441101;3487;1608502702762088;1608502704580344;1818256;1608502704581145;1608502704585538;4393;1732389;320987;801;3875920;0
[CSV] 8;1608502702461378;1608502702667599;206221;1608502704286309;1608502704287959;1650;1608502704611397;1608502706433319;1821922;1608502706434101;1608502706437866;3765;1618710;323438;782;3766502;0
[CSV] 9;1608502704322349;1608502704484801;162452;1608502706155740;1608502706159096;3356;1608502706461299;1608502708275814;1814515;1608502708276581;1608502708280622;4041;1670939;302203;767;3791780;0
[CSV] 10;1608502706189679;1608502706390988;201309;1608502707988585;1608502707991911;3326;1608502708306854;1608502710130430;1823576;1608502710131210;1608502710135117;3907;1597597;314943;780;3740222;0
[CSV] 11;1608502707995917;1608502708196558;200641;1608502709849917;1608502709856831;6914;1608502710161436;1608502712027327;1865891;1608502712028227;1608502712032786;4559;1653359;304605;900;3831669;0
[CSV] 12;1608502709852916;1608502710054984;202068;1608502711742666;1608502711746204;3538;1608502712054311;1608502713877828;1823517;1608502713878598;1608502713882586;3988;1687682;308107;770;3823614;0
[CSV] 13;1608502711760676;1608502711960053;199377;1608502713599232;1608502713600892;1660;1608502713908884;1608502715711813;1802929;1608502715712687;1608502715716631;3944;1639179;307992;874;3752634;0
[CSV] 14;1608502713615305;1608502713780906;165601;1608502715432620;1608502715439395;6775;1608502715741807;1608502717486671;1744864;1608502717487011;1608502717488841;1830;1651714;302412;340;3706105;0
[CSV] 15;1608502715435973;1608502715640905;204932;1608502717208898;1608502717212218;3320;1608502717520514;1608502719304374;1783860;1608502719305210;1608502719309215;4005;1567993;308296;836;3664305;0
[CSV] 16;1608502717246624;1608502717444993;198369;1608502719024349;1608502719027808;3459;1608502719335476;1608502721203683;1868207;1608502721204477;1608502721208420;3943;1579356;307668;794;3759484;0
[CSV] 17;1608502719050824;1608502719256342;205518;1608502720916724;1608502720920135;3411;1608502721233758;1608502723165274;1931516;1608502723165998;1608502723169559;3561;1660382;313623;724;3909656;0
[CSV] 18;1608502720962253;1608502721161965;199712;1608502722872863;1608502722876314;3451;1608502723196167;1608502725070663;1874496;1608502725071468;1608502725075388;3920;1710898;319853;805;3909503;0
[CSV] 19;1608502722917349;1608502723117294;199945;1608502724777713;1608502724781060;3347;1608502725101978;1608502726925655;1823677;1608502726926484;1608502726930489;4005;1660419;320918;829;3809190;0
[CSV] 20;1608502724823306;1608502725026504;203198;1608502726644655;1608502726648033;3378;1608502726958829;1608502728830672;1871843;1608502728831465;1608502728835440;3975;1618151;310796;793;3804961;0
[CSV] 21;1608502726682145;1608502726861775;179630;1608502728540551;1608502728543867;3316;1608502728863736;1608502730679425;1815689;1608502730680252;1608502730684235;3983;1678776;319869;827;3818477;0
[CSV] 22;1608502728566589;1608502728766853;200264;1608502730387604;1608502730391121;3517;1608502730710683;1608502732519804;1809121;1608502732520573;1608502732524734;4161;1620751;319562;769;3753720;0
